Company Name,Ticker,Optionable,Market Cap ,Avg Volume,Sector,Industry,Last Close,Beta,52 Week High,52 Week Low
Eversource Energy,ES,YES,18762.81,1709624,Utilities,Utility - Electric Power,59.21,0.32,65.81,56.11
"Escalade, Incorporated",ESCA,YES,192.45,8618.65,Consumer Discretionary,Leisure and Recreation Products,13.35,0.03,14.3,11.5
ESCO Technologies Inc.,ESE,YES,1517.09,66531.5,Industrial Products,Manufacturing - Electronics,58.7,0.97,66.35,51.4
"Electro Scientific Industries, Inc.",ESIO,YES,630.44,536498.69,Computer and Technology,Lasers Systems and Components,18.79,0.93,26.99,6.43
Esterline Technologies Corporation,ESL,YES,2233.59,176968.41,Aerospace,Aerospace - Defense Equipment,75.15,1.23,101.6,68.45
Essendant Inc.,ESND,YES,354.01,455951.84,Consumer Discretionary,Consumer Products - Discretionary,9.4,1.08,17.85,7.44
Essent Group Ltd.,ESNT,YES,3369.54,1194172.25,Finance,Financial - Mortgage & Related Services,34.35,1.17,49.82,33.71
"Esperion Therapeutics, Inc.",ESPR,YES,1960.09,508914.09,Medical,Medical - Drugs,73.27,2.51,80.76,31.53
"Empire State Realty Trust, Inc.",ESRT,YES,2711.83,874396.5,Finance,REIT and Equity Trust - Other,16.65,0.95,21.61,16.31
Express Scripts Holding Company,ESRX,YES,42221.52,3766375.5,Medical,Medical Services,75.19,0.99,81.92,56.81
"Essex Property Trust, Inc.",ESS,YES,15672.68,335390.44,Finance,REIT and Equity Trust - Residential,237.32,0.39,269.39,217.81
Ensco plc,ESV,YES,2620.41,11271221,Oils-Energy,Oil and Gas - Drilling,6.01,1.82,8.49,4.16
"Energy Transfer Equity, L.P.",ETE,YES,17223.17,4082062,Oils-Energy,Oil and Gas - Production Pipeline - MLB,15.96,1.87,19.18,14.17
E*TRADE Financial Corporation,ETFC,YES,15996.27,3052709,Finance,Financial - Investment Bank,60.33,1.29,60.48,33.39
Ethan Allen Interiors Inc.,ETH,YES,615.46,272079.56,Retail-Wholesale,Retail - Home Furnishings,22.4,1.07,32.55,22.05
Entercom Communications Corporation,ETM,YES,1383.14,1423887.75,Consumer Discretionary,Broadcast Radio and Television,10.25,1.09,13.2,9.25
"Eaton Corporation, PLC",ETN,YES,34568.91,2828552.25,Industrial Products,Manufacturing - Electronics,78.53,1.36,87.86,70.44
"Energy Transfer Partners, L.P.",ETP,YES,21697.41,5972090,Oils-Energy,Oil and Gas - Production Pipeline - MLB,18.64,0.97,24.35,15.71
Entergy Corporation,ETR,YES,14326.05,1147521.38,Utilities,Utility - Electric Power,79.25,0.47,87.42,72.02
"Etsy, Inc.",ETSY,YES,3564.87,2617048,Computer and Technology,Internet - Services,29.73,0.19,30.58,10.46
Euronav NV,EURN,YES,1440.84,324631.41,Transportation,Transportation - Shipping,9.05,0.54,9.55,6.9
Eaton Vance Corporation,EV,YES,6615.9,540896.88,Finance,Financial - Investment Management,55.1,1.69,60.87,42.83
"Enviva Partners, LP",EVA,YES,731.21,33414.85,Oils-Energy,Biofuels,27.75,1.01,31.45,25.1
"Everbridge, Inc.",EVBG,YES,1067.5,229819.05,Computer and Technology,Internet - Software,37.42,0.73,38.51,21.73
Entravision Communications Corporation,EVC,YES,445.52,618025.19,Consumer Discretionary,Broadcast Radio and Television,4.95,1.39,7.75,4.35
"EV Energy Partners, L.P.",EVEP,YES,7.19,2060412.38,Oils-Energy,Oil and Gas - Exploration and Production - United States,0.1456,2.81,1.62,0.13
"Evolent Health, Inc",EVH,YES,1289.33,540625.31,Computer and Technology,Internet - Software,16.65,1.07,27.35,10.5
Envision Healthcare Corporation,EVHC,YES,4511.71,2216704.75,Medical,Medical - Outpatient and Home Healthcare,37.31,0.42,63.36,24.79
EVINE Live Inc.,EVLV,YES,52.8,199720.55,Retail-Wholesale,Internet - Commerce,0.8076,2.6,1.55,0.81
"Evolving Systems, Inc.",EVOL,YES,46.98,16652.2,Computer and Technology,Communication - Network Software,3.75,0.54,5.8,3.75
Evercore Inc,EVR,YES,3829.41,506295.06,Finance,Financial - Investment Bank,92.85,1.82,101.8,67.8
Everi Holdings Inc.,EVRI,YES,444.7,654795.13,Business Services,Business - Services,6.45,1.14,8.87,5.9
"Evertec, Inc.",EVTC,YES,1285.62,558503.38,Business Services,Financial Transaction Services,17.75,1.1,19.1,13
Edwards Lifesciences Corporation,EW,YES,28813.15,1369076.75,Medical,Medical - Instruments,137.19,0.58,142.34,97.77
iShares MSCI Australia ETF,EWA,YES,1610.27,2445467.75,Finance,Financial - Investment Funds,22.18,1.05,24.11,21.16
"East West Bancorp, Inc.",EWBC,YES,9623.88,920071,Finance,Banks - West,66.43,1.42,69.07,53.03
iShares MSCI Sweden Capped ETF,EWD,YES,492.58,294492.75,Finance,Financial - Investment Funds,34.03,0.94,36.58,31.32
iShares MSCI Germany ETF,EWG,YES,4256.06,3794064.75,Finance,Financial - Investment Funds,32.84,1.19,35.65,28.34
iShares MSCI Hong Kong ETF,EWH,YES,2589.36,4146519.5,Finance,Financial - Investment Funds,25.33,0.94,26.9,22.28
iShares MSCI Italy Capped ETF,EWI,YES,760.47,925441.19,Finance,Financial - Investment Funds,34.14,1.05,34.44,24.98
iShares MSCI Japan ETF,EWJ,YES,22301.45,8002497,Finance,Financial - Investment Funds,60.61,0.75,64.67,51.46
iShares MSCI Switzerland Capped ETF,EWL,YES,1294.45,1037964.38,Finance,Financial - Investment Funds,34.29,0.85,37.74,32.16
iShares MSCI Malaysia ETF,EWM,YES,705.28,977460.88,Finance,Financial - Investment Funds,35.62,0.93,36.47,31.05
iShares MSCI Spain Capped ETF,EWP,YES,1101.57,984248.69,Finance,Financial - Investment Funds,33.61,1.18,36.24,30.39
iShares MSCI France ETF,EWQ,YES,849.16,1335591.25,Finance,Financial - Investment Funds,32.66,1.02,33.73,26.41
iShares MSCI Singapore Capped ETF,EWS,YES,711.73,1145250.88,Finance,Financial - Investment Funds,27.48,1.04,28.19,22.56
iShares MSCI United Kingdom ETF,EWU,YES,2682.5,1644359,Finance,Financial - Investment Funds,36.25,0.99,37.88,32.37
iShares MSCI South Korea Capped ETF,EWY,YES,4280.43,2505123.5,Finance,Financial - Investment Funds,74.12,0.94,79.04,60.96
iShares MSCI Brazil Capped ETF,EWZ,YES,8106.78,14499832,Finance,Financial - Investment Funds,42.6,1.35,47.33,32.75
Exact Sciences Corporation,EXAS,YES,5889.85,2222443.25,Medical,Medical - Biomedical and Genetics,48.7,0.87,60.51,23.8
Exelon Corporation,EXC,YES,37308.04,4982478,Utilities,Utility - Electric Power,38.66,0.16,42.39,33.5
"Exelixis, Inc.",EXEL,YES,6152.71,3465646.75,Medical,Medical - Biomedical and Genetics,20.74,2.1,31.89,18.32
"ExlService Holdings, Inc.",EXLS,YES,1997.86,126848.05,Business Services,Outsourcing,58.42,1.13,63.51,46.53
Eagle Materials Inc,EXP,YES,4946.7,416656.31,Construction,Building Products - Concrete and Aggregates,101.64,1.19,120.3,87.24
"Expeditors International of Washington, Inc.",EXPD,YES,11262.06,1066173.25,Transportation,Transportation - Services,64.3,0.69,67.05,52.25
"Expedia, Inc.",EXPE,YES,16760.73,1716595.75,Retail-Wholesale,Internet - Commerce,110.39,1.04,159.5,100.1
"Exponent, Inc.",EXPO,YES,2231.19,76607.6,Business Services,Consulting Services,85.8,0.62,85.85,57.2
"Express, Inc.",EXPR,YES,577.66,1741535.25,Retail-Wholesale,Retail - Apparel and Shoes,7.33,0.94,11.22,5.35
Extra Space Storage Inc,EXR,YES,10827.88,854367.38,Finance,REIT and Equity Trust - Other,85.91,0.21,89.56,71.79
Exterran Corporation,EXTN,YES,1057.22,122615.95,Oils-Energy,Oil and Gas - Mechanical and and Equitment,29.58,0.91,33.1,23.51
"Extreme Networks, Inc.",EXTR,YES,1246.04,1535423.13,Computer and Technology,Computer - Networking,10.81,1.6,15.08,7.36
"Second Sight Medical Products, Inc.",EYES,YES,98.79,183239,Medical,Medical - Instruments,1.65,3.04,2.35,0.96
pSivida Corp.,EYPT,YES,74.75,497704.19,Medical,Medical - Biomedical and Genetics,1.65,1.1,2.32,1.03
iShares MSCI South Africa ETF,EZA,YES,480.31,412462.84,Finance,Financial - Investment Funds,66.71,0.96,75.98,55.21
"EZCORP, Inc.",EZPW,YES,727.09,270738.19,Finance,Financial - Consumer Loans,13.35,1.58,13.85,7.6
iShares MSCI Eurozone ETF,EZU,YES,14029.52,6717137.5,Finance,Financial - Investment Funds,44.68,1.07,47.11,37.39
